state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Washington,2020-03-20,-33,3,86,-42,-41,15
Washington,2020-03-21,-43,-9,75,-37,-28,10
Washington,2020-03-22,-38,-14,30,-44,-32,9
Washington,2020-03-23,-36,-9,-4,-50,-44,17
Washington,2020-03-24,-41,-13,-3,-52,-49,20
Washington,2020-03-25,-44,-16,7,-54,-52,21
Washington,2020-03-26,-49,-21,-15,-59,-56,23
Washington,2020-03-27,-51,-22,-19,-61,-56,24
Washington,2020-03-28,-55,-26,-26,-56,-40,16
Washington,2020-03-29,-48,-26,-11,-56,-41,13
Washington,2020-03-30,-45,-23,-26,-60,-56,21
Washington,2020-03-31,-42,-18,-1,-58,-58,23
Washington,2020-04-01,-40,-12,18,-56,-58,22
Washington,2020-04-02,-44,-16,-1,-59,-58,23
Washington,2020-04-03,-45,-15,-12,-60,-57,23
Washington,2020-04-04,-50,-19,5,-53,-41,14
Washington,2020-04-05,-46,-21,-11,-56,-42,12
Washington,2020-04-06,-40,-16,24,-57,-56,20
Washington,2020-04-07,-40,-15,37,-56,-58,22
Washington,2020-04-08,-40,-12,51,-55,-58,21
Washington,2020-04-09,-40,-11,49,-56,-58,22
Washington,2020-04-10,-42,-11,36,-56,-58,22
Washington,2020-04-11,-47,-10,3,-50,-41,14
Washington,2020-04-12,-56,-27,3,-51,-43,11
Washington,2020-04-13,-40,-18,19,-56,-55,20
Washington,2020-04-14,-39,-14,37,-54,-56,22
Washington,2020-04-15,-34,-9,33,-52,-55,21
Washington,2020-04-16,-35,-10,44,-53,-55,21
Washington,2020-04-17,-40,-14,31,-54,-54,21
Washington,2020-04-18,-47,-18,-8,-48,-38,13
Washington,2020-04-19,-37,-17,17,-47,-37,10
Washington,2020-04-20,-34,-14,33,-53,-53,19
Washington,2020-04-21,-37,-15,14,-54,-54,21
Washington,2020-04-22,-40,-14,-23,-57,-55,22
Washington,2020-04-23,-39,-12,2,-56,-54,21
Washington,2020-04-24,-40,-14,17,-54,-53,21
Washington,2020-04-25,-45,-15,8,-46,-37,13
Washington,2020-04-26,-36,-15,13,-46,-37,10
Washington,2020-04-27,-34,-13,9,-53,-51,19
Washington,2020-04-28,-33,-10,28,-51,-53,12
Washington,2020-04-29,-33,-8,31,-50,-52,19
Washington,2020-04-30,-33,-7,17,-52,-52,20
Washington,2020-05-01,-33,-6,40,-48,-50,19
Washington,2020-05-02,-43,-12,-20,-46,-35,13
Washington,2020-05-03,-32,-9,9,-44,-33,9
Washington,2020-05-04,-30,-7,18,-50,-48,17
Washington,2020-05-05,-26,1,78,-46,-49,17
Washington,2020-05-06,-32,-5,36,-49,-50,18
Washington,2020-05-07,-30,-2,80,-46,-50,17
Washington,2020-05-08,-31,0,103,-43,-48,16
Washington,2020-05-09,-34,8,108,-30,-30,7
West Virginia,2020-02-15,7,-3,17,0,0,0
West Virginia,2020-02-16,7,1,28,3,1,0
West Virginia,2020-02-17,5,-2,14,3,-15,4
West Virginia,2020-02-18,3,-1,5,5,1,0
West Virginia,2020-02-19,4,-3,11,2,1,0
West Virginia,2020-02-20,2,-3,0,2,2,1
West Virginia,2020-02-21,0,-7,3,-2,2,1
West Virginia,2020-02-22,8,0,42,3,3,-1
West Virginia,2020-02-23,8,4,50,9,3,-1
West Virginia,2020-02-24,4,-1,4,4,2,1
West Virginia,2020-02-25,10,2,10,3,2,0
West Virginia,2020-02-26,14,3,7,5,2,-1
West Virginia,2020-02-27,5,-3,-8,3,-3,2
West Virginia,2020-02-28,8,0,-3,3,-1,1
West Virginia,2020-02-29,13,3,5,7,2,-1
West Virginia,2020-03-01,22,13,40,18,4,-2
West Virginia,2020-03-02,12,4,1,5,2,1
West Virginia,2020-03-03,20,12,9,6,3,-1
West Virginia,2020-03-04,16,6,26,9,2,-1
West Virginia,2020-03-05,13,8,22,8,3,-1
West Virginia,2020-03-06,1,-5,0,5,0,2
West Virginia,2020-03-07,12,3,28,14,3,-1
West Virginia,2020-03-08,18,11,89,25,3,-2
West Virginia,2020-03-09,13,7,49,7,0,0
West Virginia,2020-03-10,11,5,7,4,0,0
West Virginia,2020-03-11,10,5,22,7,0,0
West Virginia,2020-03-12,12,17,38,8,0,0
West Virginia,2020-03-13,7,19,22,6,-3,1
West Virginia,2020-03-14,0,13,23,5,-2,2
West Virginia,2020-03-15,-3,11,8,13,-5,2
West Virginia,2020-03-16,-1,16,4,1,-13,5
West Virginia,2020-03-17,-5,14,7,-2,-16,6
West Virginia,2020-03-18,-18,10,16,-4,-21,7
West Virginia,2020-03-19,-22,10,9,-10,-23,9
West Virginia,2020-03-20,-30,1,14,-19,-26,12
West Virginia,2020-03-21,-35,5,1,-17,-22,9
West Virginia,2020-03-22,-40,-10,33,-18,-27,8
West Virginia,2020-03-23,-34,-5,-22,-25,-33,14
